ID;extracted_text
1598;"The partners, meanwhile, are negotiating for positions in other Washington law firms. Nuclear Power Blues
T he nuclear power industry these days is as blue as a farmer who lost his only milk cow. Disappointed in the Reagan Administration, unhappy with its press coverage and concerned that it is losing ground with the public, the industry has concluded that it is threatened with a public relations meltdown of sorts."
724;"ANDERSON SAYS CARTER AND REAGAN HAVE 'FOLLY' ALLIANCE ON ATOM WAR

John B. Anderson charged yesterday that President Carter and Ronald Reagan ''have formed an alliance of folly'' based on ''the fatal belief that nuclear wars can be limited and perhaps even won.'' ''Now, obviously, neither Mr. Carter nor Mr. Reagan is advocating nuclear war,'' the independent Presidential candidate told a luncheon of the Council on Foreign Relations in Manhattan. ''But I consider both of them to be seriously misguided in their endorsement of the so-called nuclear war-fighting thesis.'' AN-A
In his first major campaign address on United States-Soviet relations, Mr. Anderson called, in effect, for a cautious but less belligerent attitude toward Moscow while opposing any military alliance with China."
12005;"World Briefing Asia: North Korea: Visit Set To Nuclear Lab

Three inspectors from the International Atomic Energy Agency arrive in North Korea next Tuesday for a four-day visit to an isotope production laboratory at the North Korean nuclear complex at Yongbyon. But Melissa Fleming, public affairs officer at the agency headquarters in Vienna, made clear that the visitors would not inspect installations suspected of harboring enough weapons-grade plutonium for two warheads, which was produced before the signing of the Geneva agreement in 1994."
2448;"Congress May Lift Ban on Wheat Sales to India and Pakistan

Under pressure from farmers, the Government is poised to re-allow the sale of wheat to India and Pakistan despite economic sanctions by the United States against those countries for their recent nuclear tests. Allowing wheat sales would seem to undermine Washington's moral outrage against India and Pakistan, but a movement to skirt the sanctions on wheat has caught on in Congress, and President Clinton encouraged the movement on Friday as he sought greater flexibility in exercising sanctions around the world."
2167;A county bus strike early this month lasted a day. He has railed, a rarity, at the Nuclear Regulatory Commission and Consolidated Edison over a series of leaks and other problems at the Indian Point 2 nuclear plant in Buchanan but now accepts N.R.C. assurances that the plant is safe.
10663;"U.N. Inspection-Unit Leader Seems Tailored for the Job

A co-worker says David A. Kay, the cool-headed American nuclear inspector who is standing off Iraq's military in a Baghdad parking lot, is just ""a regular guy thrust into extraordinary circumstances"" -- circumstances, she might have added, for which he appears well suited by training and temperament. The 51-year-old Texan's resume almost suggests that he has been prepping for a crisis between United Nations inspectors and a developing-world dictator since his days as a Columbia University graduate student, 25 years ago."
4205;"INDIA TO REPROCESS SPENT NUCLEAR FUEL; Decision to Produce Plutonium Is a Challenge to U.S. in Dispute Over Delays in Supplies

The highest officials of India's Atomic Energy Commission said here today that they had authorized the reprocessing of spent nuclear fuels into much more toxic and dangerous plutonium oxide. The decision to begin full-scale but temporary operations at a previously unused 10-year-old reprocessing plant represents a thinly veiled challenge to the United States over what India regards as Washington's delays in releasing nuclear fuel under the terms of a purchase agreement. As successive shipments of enriched uranium for the Tarapur nuclear power plant were delayed by Congress, Indian officials hinted that if pressed this country had the ability to maintain the plant without the American supplies by simply converting the stored nuclear waste that accumulated from earlier United States deliveries. The Tarapur facility can run on a plutonium fuel made from reprocessed spent uranium."
40;"Mr. Prokip said there was hope that the ships might be spared because they are operated by Turkey, a country that has mediated agreements between Russia and Ukraine during the war. Stationing U.N. experts at critical substations
  With most of its thermal and hydroelectric power plants destroyed or badly damaged, Ukraine has relied on its three operational nuclear power stations to keep the lights on. Together, they can provide 7.7 gigawatts of electricity per hour, more than half of the country's current generation capacity, according to DiXi Group, a Ukrainian energy think tank."
2262;"Mr. Butler said that he would travel to Iraq late next week to discuss arrangements for the inspections of the presidential sites with Deputy Prime Minister Tariq Aziz, and that inspections of the presidential sites will begin within ""a couple of days."" The International Atomic Energy Agency, which has a mandate to rid Iraq of nuclear weapons, is making 10 of its inspectors available to join the United Nations team looking for chemical and biological weapons, Mr. Butler said. Jayantha Dhanapala, the Under Secretary General for Disarmament, who is to supervise inspections at the presidential sites, will enlist senior diplomats to accompany the inspectors, under the arrangement worked out by Mr. Annan."
1120;This antique technology will keep the NASA circus flying but does little for industry. The Department of Energy plans a $5 billion atom smasher, even though it promises few commercial spinoffs and will rob funds from physics research of greater relevance. Why does this country's research policy remain so incoherent, while Japan targets one high-tech industry after another and wrests dominance from American competitors?
3454;This may seem like an irrelevant question, given that both the White House and Congress are controlled by a party that rejects the scientific consensus about human-driven climate change. But the proposition that it could, long a dream of an environmental movement as wary of            nuclear energy as it is of fossil fuels, has been gaining ground among policy makers committed to reducing the nation’s carbon footprint. Democrats in both            the United States Senate and in            the California Assembly have proposed legislation this year calling for a full transition to renewable energy sources.
2216;"Celebrating the Web; an Atomic Movie; a Hurricane Over Saturn - Correction Appended

So many piquant tidbits this week: We were able to see a revival of the world's first Web site (which had no funny cat photos), watch the first movie starring tiny atoms, and view the first images of a surprisingly Earth-like hurricane swirling over Saturn. Developments
Computer Science
Happy Birthday, WWW!"
6391;(Page 1, Column 3.) Israel wants a nuclear treaty to bar atomic weapons from the Middle East and plans to introduce its own proposal for this on Tuesday at the United Nations, its diplomats said in New York. Emphasizing its change in policy, Israel will support an Egyptian proposal to keep nuclear arms out of the Middle East. (1:5.)
9266;"Study Says U.S. Rejected Safer Nuclear Test Site

When the United States chose Nevada as the site for atmospheric tests of nuclear weapons four decades ago, Government officials knew the choice would mean that more people would be exposed to radiation than at an alternative site in North Carolina, a new study asserts. But, the report made public today by a private anti-war group says, officials chose the Nevada site because it was already under Government control and could be used sooner and because it was closer to bomb production plants."
5904;"Reports From Europe
Scientists at the conference reported that the European observations, taken in the highway tunnel under Mont Blanc, Western Europe's highest mountain, supported the findings from the Soudan mine and from the mine beneath Lake Erie. The European observations were carried out by a collaboration of physicists from CERN, the European nuclear researech center near Geneva, and Italian laboratories at Frascati, Milan and Turin. In the three experiments hundreds of tons of iron or thousands of tons of water were rigged with instruments to detect the decay of protons or neutrons within that material."
11206;"U.S. WEIGHS RISK THAT ATOM WAR COULD BRING FATAL NUCLEAR WINTER

The Federal Government has embarked on a broad program to assess the theory that fires set by even a limited exchange of nuclear weapons would blot out so much sunlight with smoke and soot that life on earth would be all but extinguished. According to Federal officials, the scientific study is to involve more than a dozen Government agencies and cost up to $50 million."
2490;But in an interview with journalists on Tuesday, Mr. Putin claimed that Ukraine’s offensive was sputtering and that it had recently lost three times as many tanks as Russia had, figures that could not be confirmed. The United Nations’ chief nuclear energy watchdog, Rafael Mariano Grossi, ventured into the war zone on Thursday to visit the endangered Zaporizhzhia Nuclear Power Plant, held since last year by Russian forces. Mr. Grossi, head of the International Atomic Energy Agency, cited new safety fears because the destruction last week of the Kakhovka dam had drained the reservoir that supplies water to keep the plant’s nuclear fuel from melting down. After crossing the front line to reach the plant, he explained the concern in posts on Twitter, but did not say what he had found.
4297;"IRAN IS SHIELDING NUCLEAR EFFORTS IN TUNNEL MAZES

Last September, when Iran's uranium enrichment plant buried inside a mountain near the holy city of Qum was revealed, the episode cast light on a wider pattern: Over the past decade, Iran has quietly hidden an increasingly large part of its atomic complex in networks of tunnels and bunkers across the country. In doing so, American government and private experts say, Iran has achieved a double purpose."
5259;This is Wal-Mart's specialty. I create a global supply chain down to the last atom of efficiency so that if I sell an item in Arkansas, another is immediately made in China. (If Wal-Mart were a country, it would be China's eighth-largest trading partner.)
772;"AROUND THE NATION; Decision on Atom Plant Possible Next Month

Government safety officials said today that they could decide by Feb. 15 whether to allow the Diablo Canyon nuclear plant to start up despite scores of new reports about the safety of the facility's design and construction. However, officials of the Nuclear Regulatory Commission told a House subcommittee that at least 15 of the assertions about the California plant would have to be resolved first."
6231;"A12

Russia-Iran Arms Deal
The Kremlin signed an accord that will let Iran buy jets, missiles and other weapons from Russia. And the atomic energy ministry said it planned to deliver the first of two nuclear reactors to Iran next month. The arms deal comes six years after Moscow stopped such sales to Iran under pressure from the United States, which regards Iran as a leading sponsor of terrorism."
1639;"[B10.] TODAY'S COLUMNS
An order from Korea has revived hopes at Atomic Energy that its business in nuclear reactors is not gone. Talking Deals."
2865;"The baby-steppers believe that only by a series of small, incremental agreements can the arms race be slowed; they are willing to risk the locking-in of a Soviet advantage to achieve some measure of arms control. The giant-steppers believe that the time is ripe for a breakthrough that will reduce the nuclear arsenals; they are willing to risk the delays of a Soviet propaganda offensive to accomplish genuine arms reduction. Each position can be defended, but a difference in debating tone has become apparent: the giant-steppers may think the other side to be naive, but impute no sinister or subversive motive to the believers in the SALT agreements."
2238;"Chemist Asserts Backing on Fusion

B. Stanley Pons, an electrochemist at the University of Utah who last month threw scientists into turmoil by asserting that he had achieved nuclear fusion in a jar of water at room temperature, said today that 60 laboratories around the world had told him that they had duplicated parts of his work. But he added that many of them had not made their results public and might not do so in the near future, partly because of concerns about giving away information that could be used in patent applications."
12131;It also ended a multiweek stretch of relative calm in Kyiv, Ukraine’s capital, during which several American officials visited the city. In other news from the war, the U.N.’s atomic watchdog denounced international complacency over safety at Ukraine’s Zaporizhzhia nuclear plant, after Russian shelling again cut power today. 4.
10696;"U.N. Nuclear Chief Welcomed in Libya

Libya welcomed the scrutiny of the United Nations nuclear watchdog on Saturday and promised its cooperation with the International Atomic Energy Agency. The agency's chief, Mohamed ElBaradei, arrived in Tripoli with a team of experts and praised Libya's new openness as a step in the right direction."
4335;"ISRAEL OPENS TRIAL IN ESPIONAGE CASE

The espionage trial of Mordechai Vanunu, the former nuclear technician who told a British newspaper what he said were details of Israel's nuclear weapons industry, began today in a Jerusalem courtroom behind closed doors and boarded windows. The prisoner was transferred to the Jerusalem district courthouse in a police van with the windows painted and sealed to prevent any additional revelations."
7022;"North Korea's Atomic Bravado Incites a Host of Skeptics

Just days away from the scheduled opening of discussions with the United States, North Korea appeared to announce today that it was reprocessing nuclear fuel rods, a step that would suggest development of atomic weapons. Later, however, the statement was withdrawn from North Korea's official Web site amid confusion over the accuracy of the translation."
12140;"Ukrainian officials are also seeking donations for routers and other equipment to put internet service into bomb shelters, including those at schools. In other news from the war:
An official at Ukraine’s atomic energy company said that international inspectors should visit the Zaporizhzhia power plant, where shellfire damaged a nuclear fuel storage facility. Russian propaganda is becoming multilingual, relying on languages like Spanish and Arabic to evade social media moderators."
2979;"Effort to Solve Energy Woes Clashes With Nuclear Safety

If the collapse of nuclear controls in Russia poses the near-term threat that terrorists could seize plutonium to make nuclear weapons, longer-term fears arise from nuclear energy programs launched by America's closest allies: Japan, Britain and France. Over the next two decades these countries, as well as Russia, plan to vastly increase the world's stockpiles of plutonium."
7781;"Physicists Manage to Create The First Antimatter Atoms

Physicists at the European Laboratory for Particle Physics announced yesterday that they had created, for forty-billionths of a second, the first complete atoms of antimatter ever made by human beings or seen in nature. In an antiatom, the antimatter equivalent of an ordinary atom, the electrical charges of all the component particles are reversed; while an ordinary atom has a positively charged nucleus with one or more negatively charged electrons orbiting it, the antimatter atom has a negatively charged nucleus with positively charged orbiting electrons. An ordinary atomic nucleus contains positively charged protons, while its antimatter counterpart contains negatively charged antiprotons. Unless an antimatter atom is kept from coming into contact with an ordinary atom, the two atoms annihilate each other in a violent flash of energy -- a fact that may explain the apparent absence of antimatter in the natural universe. Antiprotons are routinely made in physics laboratories, as are antielectrons, which are also called positrons."
2852;"ERROR IN SITING REACTOR PLANT IN SOUTH RUSSIA IS DISCLOSED

The problems at the giant Atommash reactor-manufacturing plant that brought censure from the Politburo last summer and evidently set back the nuclear power program apparently stemmed from siting the factory too close to a manmade lake, Soviet sources said today. They said geological surveys of the site at Volgodonsk, on the Don River's Tsimlyansk Reservoir in southern Russia, had failed to take account of the effect the reservoir would have on the shore area, and the foundations of the plant were undermined by erosion."
8146;"Radioactive Iodine Detected in Ocean, Despite Gains at Japanese Plant

TOKYO -- Workers made incremental progress at the stricken Fukushima Daiichi nuclear plant on Thursday, but disturbingly high radiation readings there as well as miles away continued to reinforce fears that Japan's crisis was far from over. The death toll from the earthquake and tsunami that crippled the plant three weeks ago rose to nearly 11,600, with more than 16,000 people listed as missing."
5080;"Iran’s Captive Minds; Bret Stephens

In June 2014, Dina Esfandiary and Ariane Tabatabai wrote an article in The Bulletin of the Atomic Scientists, making the case that Iran had “genuine and reasonable concerns” about its nuclear fuel supplies and that it would need many more centrifuges to become energy independent. There had to be “a mechanism to guarantee Iranian supply,” they wrote, a position plainly sympathetic to Tehran’s interests."
6210;"The action has renewed a debate over whether Japan is trying to sanitize its past. A5
Kenya churches warned of curbs    A11
 
National    A16-31, B4-6
 
Atomic Energy officials denied being informed of serious reactor incidents at the Savannah River Plant. They suggested that the commission was kept in the dark because of national security concerns."
9470;"THE NATION: Order on Nuclear Plants; Atoms for Peace And War: Is There A Clear Distinction? IN April 1946, in a proposal to the newly formed United Nations, the United States took the first formal steps to establish a doctrine of clear division between civilian and military uses of nuclear technology. That was the cornerstone of Washington's political effort to control the spread of nuclear weapons while promulgating the development of nuclear power. Now critics of the Reagan Administration are arguing that the United States has taken a provocative step toward breaching that doctrine."
1646;(30.) A method for disposing of nuclear wastes by storing them chemically in high-silica glass was developed. Radioactive atoms become part of the glass and suitable for storage. Patents.
6691;"New Rules on Atom Fuel to Japan

Japan and the United States have agreed that aircraft carrying plutonium from Europe to Japan will not enter American airspace or refuel at American airports, resolving Congressional concerns about the safety of the shipments. In letters exchanged between the two nations and in a letter from the State Department to Congress, officials enumerated for the first time some details about the shipments that had been left vague in a recent agreement between the two countries."
123;"2 More U.N. Inspection Teams Arrive in Baghdad

United Nations inspectors of nuclear and ballistic weapons arrived here today in the latest test of whether Baghdad is willing to comply fully with the gulf war cease-fire. The start of their mission, which follows a standoff with Baghdad over United Nations flights, comes as the Government has made it clear that it wants improved relations with Washington."
2538;There were three. There was the man seen around the world as a Stalinist maniac, who 44 years ago sent his troops pouring over the 38th parallel to unify the Korean Peninsula on his own terms, and who four decades later burst again onto the front pages as a man in search of a nuclear bomb to save his regime. This was the Kim who intimidated his neighbors into silence, who used his unpredictability as a weapon.
3854;"Principle of Equivalence
Even though the new findings seemed to undermine a basic assumption made by Einstein - the principle of equivalence that stemmed from Galileo's work - scientists said the hypothesized new force, called the hypercharge, was so weak and local that, if it did exist, it should not fundamentally alter Einstein's principles as the basic tool of modern cosmology. The other known forces are electromagnetism, gravity and the strong and weak forces governing nuclear structure. The new analysis suggests that, contrary to Galileo's assertion, a feather would fall faster than a coin if dropped from the same height in a vacuum."
6271;"The fighting seems to suggest the violence in Natal province has spread. A1
 
Rebel leader in Liberia bars West Africans from leaving    A10
 
Soviet nuclear weapons production has a history of intense radioactive contamination and exposure of high doses to workers, according to American experts who studied the Soviet program. A3
 
Some Soviet citizens forced into exile between 1966 and 1988 have had their citizenship restored."
3106;A dabbler before he became a serious painter in 1954, Von Bruenchenhein used his fingers, bakers' tools, even strands of his wife's hair to get pigment on canvas. At first his fervent imagery tended toward the big bang, as in ''Atomic Age'' (1955), depicting the atmospheric inferno of a nuclear explosion. But gradually the work began to reflect an exaggerated, Surrealistic view of the natural world, rife with reptilian coils, sinister insectoid palps and spiky vegetation, floating in a kind of cosmic soup and animated by brilliant color transitions.
4082;"Some electric utilities and power plants coordinate their unpaid bills. Kursk Atomic Power Station, a government-owned nuclear plant, has been left with millions in unpaid bills by local electric utilities across central Russia. So instead of promising to pay off its suppliers itself, Kursk Atomic pays off its own bills with i.o.u. 's that companies can redeem in the form of electricity at local utilities that owe Kursk Atomic money. ""You can talk about these things for weeks and never get a thing done,"" laughed Mr. Baranov, who heads Rossiisky Kredit's veksel-trading operation."
11311;"UKRAINE TO CLOSE CHERNOBYL PLANT

Ukraine's Government has agreed to shut down the remaining nuclear reactors at its power plant in Chernobyl, which was heavily damaged in a catastrophic accident in 1986, the Clinton Administration said today. After three days of meetings with an American delegation, Ukraine abandoned its insistence that nuclear production must continue at the plant, agreeing instead to a joint effort with the United States to find options like energy conservation and nonnuclear power generation to replace electricity from the plant, which generates about 1,800 megawatts of power. A thousand megawatts is often described as the amount of electricity used by a million typical American homes."
3014;Security risks, which had helped prompt the Energy Department to overhaul lab management, have remained a problem. And Livermore's biggest project, the National Ignition Facility, a giant array of lasers designed to fuse hydrogen atoms, has been plagued by delays, cost overruns, and heath and safety concerns. ''Everybody thought that with privatization we could save money and get more transparency,'' said Peter Stockton, a senior investigator at the nonprofit Project on Government Oversight who has studied the national laboratories since the 1970s.
5645;"LONG ISLANDERS; NUCLEAR METHODS PUT TO OTHER USES

''IT'S not a question of whether we're going to do it or not,'' said Garman Harbottle of Setauket, a senior chemist at the Brookhaven National Laboratory in Upton. ''It's a question of whether we're going to do it right."
5062;"Iran and U.S. Agree on Path Back to Nuclear Deal

In indirect talks in Vienna, the U.S. and Iran agreed to try to synchronize Washington’s lifting of sanctions and Iran’s limiting of uranium enrichment. BRUSSELS — The United States and Iran agreed through intermediaries on Tuesday to establish two working groups to try to get both countries back into compliance with the 2015 Iran nuclear deal. In a meeting of the current members of the deal in Vienna, all parties agreed to establish one working group to focus on how to get the United States back to the deal by lifting harsh economic sanctions imposed or reimposed after President Donald J. Trump pulled out of the accord in May 2018."
8495;"Russians Balk at Opening Nuclear Sites to U.S. Eyes

This was supposed to be a banner day for American-Russian cooperation."
8768;"The typical Con Edison customer uses only 3,199 kilowatt hours a year - about half the national average. New Plants May Be Needed
If Con Edison's Indian Point nuclear power plant was ordered closed, Mr. Kleinman said, ''it would clearly hasten the day when new power plants would have to be built.'' ''I seriously doubt those measures could prevent that from happening,'' he added."
4570;"India Leader Struggles To Complete Nuclear Deal

The Indian government is desperately trying to salvage a landmark nuclear deal with the United States that has emerged not only as a personal test for Prime Minister Manmohan Singh, but also as a symbol of the difficulties of enacting policy in India's system of coalition politics. At issue this week is whether the fragile government led by Mr. Singh's Congress Party will go through with the deal, even if it means being pushed to the brink of what, in a time of discontent over soaring food and fuel prices, it wants to avoid: early elections,  before the end of its five-year term in May."
4628;"Inspector Lists Computers With Atomic Secrets as Missing

The office in charge of protecting American technical secrets about nuclear weapons from foreign spies is missing 20 desktop computers, at least 14 of which have been used for classified information, the Energy Department inspector general reported on Friday. This is the 13th time in a little over four years that an audit has found that the department, whose national laboratories and factories do most of the work in designing and building nuclear warheads, has lost control over computers used in working on the bombs. Aside from the computers it cannot find, the department is also using computers not listed in its inventory, and one computer listed as destroyed was in fact being used, the audit said."
3987;"Hiroshima and Nagasaki in Black and White

The mushroom cloud is one of those images that's hard to process without resorting to abstractions. In our minds this symbol of nuclear Armageddon has somehow become detached from the weapon's deadly efficacy. Art has sometimes attacked this disconnect: see Warhol's ''Atomic Bomb,'' Takashi Murakami's skull-faced plume and the ending montage of ''Dr. Strangelove.''"
117;"2 IN HOUSE WITHDRAW ATOM CURB

Members of the House Foreign Affairs Committee backed away today from a measure to cut off aid to any nation that manufactures a nuclear bomb. They acted after Administration officials told them privately that Israel might fall into that category."
7626;At the Los Alamos laboratory, Lazarus evolved the manual calculations of the Manhattan project into computerized numerical analysis. In 1951, his first assignment was to estimate yields of atomic explosions using a method proposed by Hans Bethe and a primitive computer. He soon moved his calculations to a more powerful device -the first stored-memory computer, MANIAC, which was designed by Nick Metropolis and others.
9692;But the plant at Al Dawrah has as sinister a history as any on the weapons inspectors' list of about 1,000 sites across Iraq -- sites the inspectors plan to search painstakingly. Al Dawrah's story took a sharp turn in 1995, when Mr. Hussein's son-in-law, Gen. Hussein Kamel, then in charge of all of Iraq's nuclear, biological and chemical weapons programs, defected to neighboring Jordan with millions of dollars of government money. Among the secrets he took with him was confirmation of a huge biological weapons program that Iraq had insistently denied, with Al Dawrah as one of the principal production plants.
